fun	type	Afr	Amh	Grc	Ara	Eus	Bul	Cat	Chi	Hrv	Cze	Dan	Dut	Gus	Eng	Est	Fin	Fre	Ger	Gre	Heb	Hin	Hun	Ice	Ina	Ita	Jpn	Kam	Kor	Lat	Lav	Lit	May	Mlt	Mon	Nep	Nor	Nno	Pes	Pol	Por	Pnb	Ron	Cgg	Rus	Snd	Slo	Slv	Som	Spa	Swa	Swe	Tam	Tel	Tha	Tur	Ukr	Urd	Zul
ConsIAdv	IAdv -> ListIAdv -> ListIAdv	-	-	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	-	+	+	-	+	+	-	+	+	+	+	-	-	-	-	+	+	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	-	-	-	+
ConsNP	NP -> ListNP -> ListNP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
ConsRS	RS -> ListRS -> ListRS	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
ConsS	S -> ListS -> ListS	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
CountNP	Det -> NP -> NP	-	-	-	-	+	+	+	+	-	-	+	-	+	+	-	+	+	-	+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	-	-	+	+	-	-	+	-	-	+	+	-	-	-	-	+	+	+	-	-	-	+	-	+	+
D_0	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_1	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_2	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_3	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_4	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_5	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_6	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_7	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_8	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
D_9	Dig	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
DefArt	Quant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
DetCN	Det -> CN -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+
DetDAP	Det -> DAP	-	-	-	-	+	+	+	-	-	-	+	+	+	+	+	+	+	+	-	-	-	-	+	-	+	+	+	-	-	-	+	-	-	-	-	+	+	-	+	+	-	-	+	+	-	-	-	-	+	+	+	-	-	-	+	-	-	+
DetNP	Det -> NP	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+
DetQuant	Quant -> Num -> Det	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+
DetQuantOrd	Quant -> Num -> Ord -> Det	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	-	+	+	-	+	+
EmbedQS	QS -> SC	+	-	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
EmbedS	S -> SC	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
EmbedVP	VP -> SC	+	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
ExistIP	IP -> QCl	+	-	+	+	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
ExistIPAdv	IP -> Adv -> QCl	-	-	+	-	-	+	-	-	-	-	-	-	+	+	-	+	-	+	-	+	-	-	+	-	-	+	+	-	+	-	-	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	-	+
ExistNP	NP -> Cl	+	-	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	-	+	-	+	+	+	+	+	+
ExistNPAdv	NP -> Adv -> Cl	-	-	+	+	-	+	-	-	+	-	-	-	+	+	-	+	+	+	-	+	-	-	+	-	+	+	+	-	+	-	-	-	+	+	-	-	-	+	-	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	+	-	+
ExtAdvNP	NP -> Adv -> NP	-	-	-	-	+	+	+	+	-	-	+	+	+	+	-	+	+	+	-	-	-	+	+	-	+	+	+	-	+	-	-	+	+	-	-	+	+	-	-	+	-	-	+	+	-	-	-	-	+	+	+	-	-	-	+	-	-	+
ExtAdvS	Adv -> S -> S	-	-	-	-	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	+	+	-	+	+	-	+	-	-	+	+	+	+	-	+	+	-	+	+	-	+	+	+	-	-	+	+	+	-	+	-	+	+	-	-	+	+
ExtAdvVP	VP -> Adv -> VP	-	-	-	-	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	-	-	-	+	-	+	+	-	-	-	-	-	-	+	-	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	-	+	-	+	-	-	-	-	+
